0,TypeError,'int' object is not callable,0,
1,TypeError,'int' object is not callable,0,
2,TypeError,'int' object is not callable,0,
3,NameError,name 'data8' is not defined,0,
4,AttributeError,'NoneType' object has no attribute 'hello',0,
5,TypeError,'int' object is not callable,0,
6,NameError,name 'data8' is not defined,0,
7,SyntaxError,"invalid syntax (Temp/ipykernel_21084/1866965863.py, line 1)",0,
8,TypeError,'int' object is not callable,0,
9,TypeError,'int' object is not callable,0,
10,ValueError,invalid literal for int() with base 10: 'HI',0,
11,TypeError,'int' object is not callable,4,e
22,NameError,name 'data8' is not defined,0,,2022-02-17 15:20:21.799362,"[('data8', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_3892/3759785821.py"", line 1, in <module>', '    data8', ""NameError: name 'data8' is not defined""]"
23,TypeError,'int' object is not callable,0,,2022-02-17 15:42:50.234226,"[('3(2)', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_31692/305253956.py"", line 1, in <module>', '    3(2)', ""TypeError: 'int' object is not callable""]"
24,TypeError,'int' object is not callable,0,,2022-02-17 15:43:41.890531,"[('3(2)', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_28652/305253956.py"", line 1, in <module>', '    3(2)', ""TypeError: 'int' object is not callable""]"
25,AttributeError,'NoneType' object has no attribute 'hello',0,,2022-02-17 15:43:47.258254,"[('a.hello', 2)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_28652/2399003099.py"", line 2, in <module>', '    a.hello', ""AttributeError: 'NoneType' object has no attribute 'hello'""]"
26,TypeError,'int' object is not callable,0,,2022-02-17 15:44:09.381395,"[('3(2)', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_21792/305253956.py"", line 1, in <module>', '    3(2)', ""TypeError: 'int' object is not callable""]"
27,AttributeError,'NoneType' object has no attribute 'hello',0,,2022-02-17 15:44:18.231040,"[('a.hello', 2)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_21792/2399003099.py"", line 2, in <module>', '    a.hello', ""AttributeError: 'NoneType' object has no attribute 'hello'""]"
28,NameError,name 'data8' is not defined,0,,2022-02-17 15:44:32.520784,"[('data8', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_21792/3759785821.py"", line 1, in <module>', '    data8', ""NameError: name 'data8' is not defined""]"
29,TypeError,'int' object is not callable,0,,2022-02-17 15:46:48.110005,"[('3(2)', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_32476/305253956.py"", line 1, in <module>', '    3(2)', ""TypeError: 'int' object is not callable""]"
30,AttributeError,'NoneType' object has no attribute 'hello',0,,2022-02-17 15:47:03.749209,"[('a.hello', 2)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_32476/2399003099.py"", line 2, in <module>', '    a.hello', ""AttributeError: 'NoneType' object has no attribute 'hello'""]"
31,TypeError,'int' object is not callable,0,,2022-02-17 15:49:53.699066,"[('3(2)', 1)]","['Traceback (most recent call last):', '  File ""C:\\Users\\Selene\\miniconda3\\lib\\site-packages\\IPython\\core\\interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""C:\\Users\\Selene\\AppData\\Local\\Temp/ipykernel_25196/305253956.py"", line 1, in <module>', '    3(2)', ""TypeError: 'int' object is not callable""]"
